,0
0,42513962
1,1567588530
2,1131042314
3,2050411801
4,601055998
5,185082898
6,1131945830
7,55936037
8,1666620120
9,1255149019
10,557697852
11,1609163056
12,1941915521
13,317694341
14,844442745
15,1977275839
16,1913072395
17,882579881
18,850510138
19,872734934
20,742726728
21,1833161132
22,2138745662
23,1317057748
24,1675621007
25,61717891
26,57992536
27,1870460461
28,1963343241
29,1823615332
30,616274940
31,419287099
32,1064427086
33,1287254892
34,1142709966
35,580143441
36,895055507
37,74958914
38,1409050456
39,1608838523
40,782456684
41,1707117407
42,1140735529
